time,latitude,longitude,height
553.5249801,52.8285062,0.7183883,229.472
553.6006,52.8284985,0.718425,229.5
553.7140701,52.8284907,0.7184618,229.513
553.8275301,52.8284831,0.7184987,229.523
553.9031801,52.8284754,0.7185356,229.476
554.01665,52.8284678,0.7185727,229.477
554.09233,52.8284601,0.7186097,229.438
554.2058001,52.8284526,0.7186467,229.483
554.3192601,52.828445,0.7186838,229.473
554.4327199,52.8284375,0.718721,229.504
554.5083501,52.8284298,0.7187582,229.531
554.62181,52.8284223,0.7187954,229.572
554.6974602,52.8284146,0.7188327,229.661
554.8109601,52.8284069,0.71887,229.723
554.9244201,52.8283992,0.7189075,229.792
555.0000801,52.8283915,0.7189451,229.842
555.11357,52.8283837,0.7189825,229.896
555.18929,52.828376,0.7190199,229.953
555.30266,52.8283681,0.7190574,230.051
555.4161201,52.8283602,0.7190951,230.142
555.5295901,52.8283521,0.719133,230.215
555.6052401,52.8283445,0.7191708,230.274
555.7187099,52.8283364,0.7192087,230.4
555.8322001,52.8283284,0.7192466,230.451
555.90785,52.8283207,0.7192842,230.509
556.0213201,52.8283129,0.7193221,230.596
556.0969701,52.8283051,0.7193601,230.671
556.2484,52.8282974,0.7193978,230.784
556.3240499,52.8282897,0.7194357,230.906
556.39955,52.8282817,0.7194733,231.067
556.51302,52.8282742,0.7195114,231.228
556.6266,52.8282666,0.7195492,231.35
556.7022002,52.8282589,0.7195871,231.462
556.81566,52.8282513,0.7196251,231.603
556.9291801,52.8282437,0.719663,231.695
557.00508,52.828236,0.719701,231.727
557.1182702,52.8282286,0.719739,231.811
557.1938901,52.8282215,0.7197769,231.945
557.30742,52.8282142,0.7198148,232.092
557.42098,52.828207,0.7198526,232.219
557.49651,52.8281999,0.7198904,232.401
557.6099701,52.828193,0.7199282,232.528
557.7235,52.8281862,0.7199663,232.696
557.7990901,52.8281793,0.7200044,232.853
557.91255,52.8281728,0.7200426,233.038
558.0261102,52.8281659,0.7200808,233.26
558.1017601,52.8281591,0.7201187,233.437
558.2152901,52.8281528,0.7201572,233.564
558.3287501,52.8281462,0.7201955,233.718
558.4421501,52.8281397,0.7202341,233.939
558.5177801,52.8281333,0.7202727,234.053
558.6312702,52.8281268,0.7203108,234.176
558.74471,52.8281206,0.7203496,234.292
558.8203599,52.8281142,0.7203883,234.368
558.89607,52.8281081,0.720427,234.49
559.00948,52.8281018,0.7204656,234.614
559.1229401,52.8280955,0.720504,234.721
559.19856,52.8280894,0.7205429,234.843
559.31218,52.8280831,0.7205815,234.964
559.4255199,52.8280766,0.7206203,235.115
559.50121,52.8280704,0.7206589,235.259
559.61482,52.8280643,0.7206975,235.376
559.72826,52.8280578,0.7207361,235.505
559.84163,52.8280517,0.7207751,235.661
559.91728,52.8280458,0.7208141,235.805
559.9929399,52.8280395,0.7208529,235.953
560.1064901,52.8280334,0.720892,236.099
560.2199001,52.8280274,0.7209309,236.236
560.2955201,52.8280215,0.7209701,236.385
560.40907,52.8280151,0.7210095,236.58
560.52245,52.828009,0.7210489,236.754
560.63591,52.8280029,0.7210884,236.968
560.71156,52.8279967,0.7211278,237.15
560.8250301,52.8279907,0.7211675,237.352
560.93852,52.8279844,0.7212069,237.52
561.01424,52.8279782,0.7212466,237.752
561.12764,52.8279716,0.7212865,237.922
561.2033901,52.8279652,0.7213264,238.177
561.3167901,52.8279585,0.7213661,238.333
561.4303401,52.8279521,0.7214063,238.471
561.50597,52.8279455,0.721446,238.593
561.6571801,52.8279391,0.7214859,238.622
561.6949902,52.8279326,0.7215257,238.659
561.80861,52.8279258,0.7215656,238.802
561.9219201,52.827919,0.7216055,238.896
561.9976401,52.8279122,0.7216454,238.946
